epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,990.288,1.21621,3.67679,1.65135,0.47794,0.33647,0.24924,0.11266,1.53474,3.67127,2.42315,0.000166211,0.000166211,0.000166211
2,2460.8,1.10294,2.74093,1.54225,0.46124,0.53954,0.5064,0.2878,1.24948,2.84918,2.01661,0.000329582,0.000329582,0.000329582
